loc_id,loc_x,loc_y,passed num,['bus_id']
1200,198608.2,452920.1,6,"['109', '151', '162', '171', '172', '272']"
1201,198518.2,452540.7,7,"['151', '162', '172', '401', '406', '7022', '704']"
1202,198483,452554,6,"['1020', '109', '151', '162', '172', '606']"
1203,198473.7,452789.8,3,"['1020', '162', '606']"
1204,200197,452772.8,13,"['100', '102', '104', '106', '107', '108', '140', '143', '150', '160', '2112', '273', '7025']"
1205,200189.4,452597.5,13,"['100', '102', '104', '106', '107', '108', '140', '150', '160', '2112', '273', '7025', '710']"
1206,200042.9,452400.5,6,"['101', '103', '370', '720', '721', '7212']"
1207,200229.6,452408.2,6,"['102', '103', '107', '108', '2112', '7025']"
1208,200381,452410.5,15,"['101', '152', '201', '260', '262', '270', '271', '370', '7025', '720', '721', '7212', 'N15', 'N26', 'N62']"
1210,200527.8,452373.6,4,"['201', '2014', '407', '7212']"
1212,200192.8,452340.1,4,"['100', '104', '2014', '407']"
1213,200251.7,452259.7,1,['163']
1214,200743.1,452469.6,6,"['102', '107', '108', '301', '7025', 'N16']"
1215,200554.6,452724.4,6,"['102', '107', '108', '301', '7025', 'N16']"
1216,200315.3,452366.9,14,"['101', '103', '2112', '260', '262', '270', '271', '370', '407', '720', '721', 'N15', 'N26', 'N62']"
1217,200560.3,452773,2,"['301', 'N16']"
1218,200047.2,452925.1,7,"['102', '107', '108', '109', '162', '301', '7025']"
1219,200216.9,453179.8,17,"['100', '102', '104', '106', '107', '108', '109', '140', '143', '150', '160', '162', '2112', '273', '301', '710', 'N16']"
1220,200201.1,453512,19,"['100', '102', '104', '106', '107', '108', '109', '140', '143', '150', '160', '162', '2112', '273', '301', '710', '90Stour', '91Stour', 'N16']"
1221,200171.3,453505.8,5,"['109', '2112', '273', '601', 'N16']"
1222,200176.1,453180.2,5,"['109', '2112', '273', '601', 'N16']"
1223,200061.4,452957.1,5,"['109', '2112', '273', '601', '7025']"
1224,199723.7,453257.7,5,"['151', '171', '172', '272', '601']"
1225,200288.9,452936.9,6,"['102', '107', '108', '301', '7025', 'N16']"
1226,200064,454027.5,1,['301']
1227,199946.9,453757.7,5,"['151', '171', '172', '272', '601']"
1228,200117.3,453834.2,5,"['109', '2112', '273', '601', 'N16']"
1229,200151.7,453894.9,16,"['100', '102', '104', '106', '107', '108', '109', '140', '143', '150', '160', '162', '2112', '273', '710', 'N16']"
1231,201374,452732.3,1,['142']
1233,201219.4,452530.1,19,"['101', '103', '105', '144', '152', '201', '2112', '2233', '260', '261', '262', '270', '271', '420', '720', 'N13', 'N15', 'N26', 'N30']"
1234,201290.3,452556.4,3,"['370', '721', '9403']"
1235,201378.1,452465.1,1,['142']
1236,201403.4,452488.8,1,['142']
1238,201338.6,453251.6,1,['142']
1239,201373.3,453251.6,2,"['1014', '142']"
1240,201395.8,452742,2,"['1014', '142']"
1243,202012.1,452936.2,6,"['101', '1014', '103', '144', '152', 'N15']"
1245,201573.7,452692,1,['1014']
1246,196170,456678.4,3,"['7212', '7212', '7730']"
1247,199800.7,452222.1,3,"['100', '104', '140']"
1249,199777.3,452564.4,1,['273']
1250,197538.3,452267.3,3,"['9701', '9709', '9709empty']"
1251,199450.5,452132.5,1,['163']
1252,200710,452270.3,1,['163']
1253,201144.4,452277.8,1,['163']
1254,201610.4,452383.2,1,['163']
1256,199720.3,452924.9,3,"['109', '162', '7025']"
1262,201805.2,452752.3,5,"['2112', '370', '721', '9403', 'N30']"
1267,198512.6,452588.9,2,"['9401', '9401empty']"
1272,197912.4,452648.2,3,"['9401', '9401empty', '9703']"
1274,197371.1,452200.9,1,['91Stour']
1277,200265.4,452969.6,2,"['301', 'N16']"
1278,196028.5,455788,4,"['7016', 'seodaemoon08', 'jongro13', 'jongro13']"
1279,196105.7,457056.5,3,"['7212', '7212', '7730']"
1282,197689.4,453706.6,1,['90Stour']
1284,198183.2,453311.1,1,['90Stour']
1285,198169.6,453036.5,1,['90Stour']
1286,196449.7,455546.3,2,"['7016', '7018']"
1287,196308.6,455560.6,4,"['1020', '1711', '7022', '7212']"
1288,200582.2,452546.3,7,"['105', '144', '2233', '261', '420', 'N13', 'N30']"
1289,202042,452765,2,"['163', '421']"
1291,198871.2,452105.6,1,['163']
1292,202012.8,452514.7,1,['163']
1293,198119,456838.1,5,"['1020', '110A_korea', '153', '1711', '7211']"
1294,198722.5,452980.9,2,"['601', '7025']"
1295,198660,452981.5,4,"['109', '151', '162', '172']"
1296,199028.7,453080.2,1,['6011']
1500,197070.2,456238.3,2,"['jongro06', 'jongro13']"
1501,198379.2,454301,1,['jongro11']
1502,196842.3,453619.1,1,['jongro09']
1503,199369.8,454602.8,1,['jongro08']
1504,199709,454237.1,1,['jongro07']
1505,197015.8,451880.8,1,['jongro05']
1506,200770.3,453432.6,1,['jongro03']
1507,199060.9,453544.4,1,['jongro01']
1508,196899.5,456140.7,1,['jongro13']
1509,198372.3,454120.2,1,['jongro11']
1510,197050.4,453498.9,1,['jongro09']
1511,199401.5,454531.9,1,['jongro08']
1512,199760.7,454394.5,2,"['jongro07', 'jongro08']"
1513,196927.5,456160.6,1,['jongro06']
1514,196928.3,452004.4,1,['jongro05']
1515,199084.4,454415.2,1,['jongro02']
1516,199061.3,453683,1,['jongro01']
1517,196599.9,456079.9,1,['jongro13']
1518,198402.1,453861.1,1,['jongro11']
1519,197240,453438.5,1,['jongro09']
1520,199435.2,454474.4,1,['jongro08']
